abet ,/v./@幫助;
able ,/aux./@能;,/adv./@有能力;
ache ,/v./@疼;,/n./@疼痛;
acid ,/n./@酸;
acme ,/n./@頂點;,/n./@極點;
acre ,/n./@英畝;
agog ,/adj./@極度興奮的;
alas ,/int./@唉;,/int./@唉呀;
ally ,/n./@盟友;,/n./@夥伴;
also ,/adv./@也;
amid ,/prep./@在@...之間;
anal ,/n./@肛門的;
anew ,/adv./@重新;
anno ,/n./@伊斯兰教纪元;
anti ,/pref./@反;,/pref./@抗;
apse ,/n./@教堂東端的半圓或多角形室;
aqua ,/n./@水;,/n./@溶液;,/n./@淺綠色;,/adj./@淺綠的;
arch ,/n./@弓形;,/n./@拱門;
area ,/n./@面積;,/n./@地區;,/n./@領域;
arid ,/adj./@干旱的;
army ,/n./@陸軍;,/n./@軍隊;
arse ,/n./@屁股;
Asia ,/n./@亞洲;
atom ,/n./@原子;
auld ,/adj./@老的;
aura ,/n./@光環;,/n./@氛圍;
auto ,/abbr./@自動的;
aver ,/v./@聲明;
avid ,/adj./@渴望的;
away ,/adv./@離開@的;,/adj./@不在的;,/adj./@距離遠的;
awry ,/adj./@歪的;
axis ,/n./@軸;,/n./@轴线;,/n./@轴心;
baby ,/n./@寳貝;,/n./@嬰兒;
back ,/adv./@回;,/n./@后面;,/n./@背部;,/adv./@向后地;,/v./@支持;
bail ,/n.//vt./@保釋;
bait ,/n./@誘餌;,/v./@引誘;
bake ,/v./@烘焙;
bald ,/adj./@秃的;,/adj./@光秃的;,/adj./@单调的;,/adj./@磨光的;
bale ,/n./@包;,/n./@捆;,/n./@災禍;
balk ,/n./@障礙;,/n./@錯誤;
ball ,/n./@球;
band ,/n./@樂隊;
bank ,/n./@銀行;,/n./@堤壩;
bare ,/v./@幾乎;,/adj./@裸的;
barf ,/v./@嘔吐;
bark ,/v./@犬吠;
barn ,/n./@穀倉;,/n./@畜棚;,/n./@車庫;
base ,/n./@基礎;
bash ,/v./@猛擊;,/v./@痛擊;
bath ,/v./@洗澡;,/v./@沐浴;
bawl ,/v./@大叫;
bead ,/n./@珠子;
beak ,/n./@鳥嘴;
beam ,/n./@光綫;,/n./@電波;,/v./@发送;,/v./@照射;,/n./@秤桿;,/n./@船寬;,/n./@橫梁;
bean ,/n./@豆子;
bear ,/v./@忍受;
beat ,/v./@打敗;
beef ,/n./@牛肉;
been ,/v./@是;,/aux./@被;
beep ,/v./@蜂鳴;
beer ,/n./@啤酒;
bell ,/n./@鈴;
bend ,/v./@彎曲;,/n./@弯曲;
best ,/adj./@最好的;
beta ,/n./@β;
bias ,/n./@偏見;
bide ,/v./@等待;,/v./@停留;,/v./@忍受;
bike ,/n./@自行車;
bill ,/n./@鈔票;,/n./@法案;,/n./@廣告;
bind ,/v./@捆綁;
bird ,/n./@鳥;
bite ,/v./@咬;
blog ,/n./@博客;
blow ,/v./@吹;
blue ,/adj./@藍@色的;,/n./@藍色;
blur ,/v./(使)@模糊;
boat ,/n./@小舟;
body ,/n./@身體;
boil ,/v./@沸騰;
bolt ,/n./@螺栓;,/n./@螺釘;,/n./@閃電;
bomb ,/n./@炸彈;
bond ,/n./@束縛;,/n./@聯結;
bone ,/n./@骨頭;
boob ,/n./@乳房;
book ,/n./@書;
boom ,/v./@爆发;
boot ,/n./@靴子;,/v./@引導;
bore ,/v./@鑽孔;,/v./@煩擾;
boss ,/n./@老板;
both ,/adv./@兩者都;,/conj./@既;,/adj./@兩個的;
bowl ,/n./@碗;
brew ,/v./@釀造;,/n./@釀造;
brim ,/n./@邊緣;,/n./@邊;
brow ,/n./@眉毛;,/n./@額;,/n./@山脊;,/n./@额头;
buck ,/n./@錢;,/n./@雄鹿;
bulb ,/n./@球形物;,/n./@燈泡;
bulk ,/n./@大半;,/n./@體積;
bull ,/n./@公牛;
bump ,/v./@撞;,/v./@碰;,/adj./@突然的;,/adv./@突然地;,/n./@腫塊;
buoy ,/v./@浮;
burn ,/v./@燃燒;
bury ,/v./@埋葬;
bush ,/n./@灌木叢;
bust ,/n./@破產;
busy ,/adj./@忙碌的;
butt ,/n./@根端;,/v./@頂撞;
cafe ,/n./@咖啡館;
cake ,/n./@蛋糕;
call ,/v./@叫;,/v./@打電話;
