act ,/v./@演;,/n./@動作;,/n./@行爲;
add ,/v./@加;,/v./@增添;,/v./@补充;
age ,/n./@年齡;
ago ,/adj./@以前;
aid ,/n./@援助;
ail ,/v./@苦惱;,/v./@生病;,/n./@病痛;
aim ,/n./@目標;
air ,/n./@空氣;
aka ,/abbr./@亦稱@(also known as);
all ,/adj./@所有;,/adv./@全都;
and ,/conj./@和;
ant ,/n./@螞蟻;
any ,/adj./@任何;,/pron./@任何;
ape ,/n./@猨;,/v./@模仿;,/n./@模仿者;
app ,/n./@應用;
apt ,/adj./@有傾向的;
are ,/v./@是;,/v./@有;
ark ,/n./@約櫃;,/n./@方舟;
arm ,/n./@胳膊;,/n./@武器;
art ,/n./@藝術;
ash ,/n./@灰塵;
ask ,/v./@問;
ass ,/n./@屁股;,/n./@驢;
ave ,/n./@大街;,/n./@林蔭道;
awe ,/v./@敬畏;
axe ,/n./@斧子;
bad ,/adj./@壞的;,/adj./@不好的;
bag ,/n./@包;,/n./@袋;
ban ,/v./@禁止;
bar ,/n./@條;
bat ,/n./@蝙蝠;
bay ,/n./@港;,/n./@津;,/n./@渡口;
bed ,/n./@牀;
bee ,/n./@蜜蜂;
beg ,/v./@乞求;
bet ,/v./@打賭;
bid ,/v./@投標;
big ,/adj./@大的;
bin ,/n./@箱;
bit ,/n./一@點兒;
bot ,/n./@馬蠅;
bow ,/v./@鞠躬;
box ,/n./@盒子;
boy ,/n./@男孩;
bud ,/n./@萌芽;
bug ,/n./@臭蟲;,/n./@蟲子;
bun ,/n./@饅頭;
bus ,/n./@公交車;
but ,/conj./@但是;,/adv./@僅僅;,/prep./@除了;
buy ,/v./@買;
cab ,/n./@出租車;
cad ,/n./@無賴;
can ,/aux./@能;,/aux./@可以;
cap ,/n./@帽子;,/n./@盖@子;
car ,/n./@汽車;
cat ,/n./@貓;
CIA ,/n.//abbr./@中情局;
con ,/adj./@否@定;,/adj./@否@...的;,/adj./@反@...的;
cop ,/n./@警察;
cow ,/n./@牛;
cry ,/v./@哭;,/v./@喊;
cue ,/n./@提示;,/n./@綫索;
cup ,/n./@杯子;
cut ,/v./@剪;
dad ,/n./@父親;
dam ,/n./@水壩;
day ,/n./@天;,/n./@日;,/n./@白天;
den ,/n./@穴;,/n./@窩;,/n./@巢;,/n./@小房間;,/n./@密室;
did ,/vt./<do的過去式>@做;
die ,/v./@死;
dig ,/v./@挖;
dim ,/n./@朦朧;,/n./@昏暗;
din ,/v./@喧闹;,/v./@喋喋不休;,/n./@喧嚣;
dip ,/v./@蘸;
dis ,/pref./@不@...的;
dog ,/n./@狗;
don ,/v./@穿上;
dot ,/n./@點;
dry ,/adj./@干@的;
dub ,/v./@配音;
due ,/adj./@到期的;,/adj./@應付的;,/adj./@預期的;,/adj./@應得的;,/n./@應付物;,/n./@應得物;
dye ,/v./@染色;
ear ,/n./@耳;
eat ,/vt./@吃;
