aardvark ,/n./@土豚;,/n./@食蟻獸;
abdicate ,/v./@放棄;
aberrant ,/adj./@異常的;
abeyance ,/n./@中止;,/n./@停顿;,/n./@暂搁;
abnormal ,/adj./@异常的;
abortion ,/n./@流产;
abrogate ,/v./@取消;,/v./@廢除;
abruptly ,/adv./@突然地;
absolute ,/adj./@绝对的;,/adj./@完全的;
abstract ,/adj./@抽象的;
abundant ,/adj./@丰富的;
academic ,/adj./@學術的;,/adj./@學院的;
accident ,/n./@事故;
accolade ,/v./@同意;
accuracy ,/n./@精确;,/n./@精确性;
accurate ,/adj./@精确的;
acquaint ,/v./使@认识;,/v./使@熟悉;
activate ,/v./@刺激;,/v./@激活;
activity ,/n./@活动;
actually ,/adv./@事实上;
addendum ,/n./@附錄;,/n./@附件;,/n./@補遺;
addition ,/n./@添加;
adequate ,/adj./@足够的;
adjacent ,/adj./@邻近的;
admonish ,/v./@告誡;,/v./@勸告;
adorable ,/adj./@可爱的;,/adj./@可敬的;
adultery ,/n./@通姦;
advanced ,/adj./@先进的;
advocate ,/v./@提倡;
affinity ,/n./@密切;,/n./@吸引力;,/n./@喜歡;
affluent ,/adj./@富裕的;,/adj./@丰富的;
aggrieve ,/v./@使苦惱;
aircraft ,/n./@飛行器;,/n./@航空器;
airdrome ,/n./@飛機場;
airstrip ,/n./@飛機跑道;
airtight ,/adj./@无懈可击的;
alacrity ,/n./@樂意;,/n./@欣然;
allegory ,/n./@寓言;
allergic ,/adj./@过敏性的;
Alliance ,/n./@联盟;
allocate ,/v./@分配;
allotted ,/adj./@专款的;,/adj./@拨出的@<allot的过去式>;
alphabet ,/n./@字母表;
altitude ,/n./@高度;
altruism ,/n./@利他主義;
ambition ,/n./@野心;,/n./@抱负;
ambulant ,/adj./@流动的;,/adj./@走动的;
amenable ,/adj./@順從的;
American ,/n./@美国人;
amicable ,/adj./@友善的;
amphibia ,/n./@兩棲類;
anabolic ,/adj./@合成代謝的;,/adj./@同化的;
analogue ,/n./@類似物;,/adj./@類似的;,/n./@模擬;
analysis ,/n./@分析;
anathema ,/n./@詛咒;
ancestor ,/n./@祖先;
anecdote ,/n./@軼事;
annotate ,/v./@注释;
announce ,/v./@宣布;
annoying ,/adj./@令人烦恼的;
antelope ,/n./@羚羊;
anterior ,/adj./@前面的;
antidote ,/n./@解毒劑;,/n./@解藥;
anything ,/pron./@任何事;
aperture ,/n./@孔;,/n./@穴;
aphorism ,/n./@格言;
apostasy ,/n./@變節;,/n./@背叛;
appalled ,/adj./@惊骇的;
apparent ,/adj./@明显的;
appendix ,/n./@附录;,/n./@阑尾;
appetite ,/n./@胃口;
applause ,/n./@鼓掌;,/n./@喝彩;,/n./@認可;
apposite ,/adj./@相關的;
appraise ,/v./@评价;,/v./@估价;,/v./@鉴定;
approach ,/v./@接近;,/n./@途徑;
approval ,/n./@赞成;
aquarium ,/n./@水族館;,/n./@水缸;,/n./@養魚池;
arborist ,/n./@园艺设计师;
archaism ,/n./@古語;
arguable ,/adj./@有争议的;
argument ,/n./@论证;,/n./@论点;
armament ,/n./@武器;,/n./@軍備;
arrogant ,/adj./@傲慢的;,/adj./@自大的;
arrogate ,/v./@冒称;,/v./@霸占;
artistic ,/adj./@艺术的;
artistry ,/n./@艺术技巧;,/n./@艺术才华;,/n./@艺术性;
asperity ,/n./@粗暴;
assassin ,/n./@刺客;
assemble ,/v./@集合;,/v./@装配;
assembly ,/n./@裝配;,/n./@集合;
asterisk ,/n./@星號;
asteroid ,/n./@小行星;
astonish ,/v./使@惊讶;
atrocity ,/n./@暴行;,/n./@凶恶;,/n./@残暴;
attendee ,/n./@出席者;
attitude ,/n./@态度;,/n./@看法;
attorney ,/n./@律师;,/n./@代理人;
audience ,/n./@听众;
audition ,/n./@試音;,/v.//n./@試聽;,/n./@聽力;,/n./@聽覺;,/v.//n./@試唱;,/v./@面試;
autonomy ,/n./@自治;
auxilian ,/n./@辅助人员;
aversion ,/n./@非常討厭;
aviation ,/n./@航空;
bachelor ,/n./@單身漢;,/n./@學士;
backbone ,/n./@脊骨;
backward ,/adj./@向后的;
bacteria ,/n./@細菌;
bandange ,/n./@绷带;
banister ,/n./@欄杆的支柱;
baseball ,/n./@棒球;
basement ,/n./@地下室;
bathroom ,/n./@浴室;
bedazzle ,/v./@吸引;
behavior ,/n./@行为;
benedict ,/v./@祝福;
betrayal ,/n./@背叛;
beverage ,/n./@飲料;
billiard ,/adj./@台球的;
birthday ,/n./@生日;
bisexual ,/adj./@兩性的;
blackout ,/n./@黑屏;
blockade ,/n./@封鎖;,/n./@阻塞;
blockage ,/n./@封鎖;
blowhard ,/n./@吹牛大家;
bonhomie ,/n./@溫和;,/n./@和藹;
bookworm ,/n./@书虫;,/n./@书呆子;
boundary ,/n./@分界线;,/n./@边界;
boutique ,/n./@精品店;,/n./@精品屋;,/adj./@精品屋的;
bracelet ,/n./@括号;
breakage ,/n./@裂口;
brighten ,/v./@使發光;
broccoli ,/n./@花椰菜;,/n./@西蘭花;
brochure ,/n./@手册;
brunette ,/n./@浅黑肤色的女人;
building ,/n./@建筑;
burglary ,/n./@盗窃;
business ,/n./@事務;,/n./@買賣;,/n./@行業;,/n./@商業;,/n./@商號;
calamity ,/n./@災難;
calendar ,/n./@日历;
calmness ,/n./@平靜;
campaign ,/n./@戰役;,/n./@運動;
canister ,/n./@筒;,/n./@罐;
cannibal ,/n./@食人者;,/n./@吃同類的動物;,/adj./@食人肉的;,/adj./@食同類的;
capacity ,/n./@容量;,/n./@容積;
carapace ,/n./@殼;,/n./@甲殼;
cardinal ,/adj./@主要的;,/adj./@鲜红色的;,/n./@红衣主教;
careless ,/adj./@马虎的;,/adj./@疏忽的;
